	index	Rating	Founded	Competitors	Salary_NotHour	Employer_est.	AVG_Size	Python	R	AWS	Excel	SQL	AVG_Salary	Same_State	Descr._Length	analyst	data engineer	data scientist	director	manager	mle	na	na	research	junior	na	na	senior	Type_of_ownership	Industry	Sector	Revenue
0	0	3.8	1973	0	1	0	750.5	1	0	0	1	0	72000.0	0.0	2536.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Aerospace & Defense	Aerospace & Defense	$50 to $100 million 
1	1	3.4	1984	0	1	0	10000.0	1	0	0	0	0	87500.0	1.0	4783.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Other Organization	Health Care Services & Hospitals	Health Care	$2 to $5 billion 
2	2	4.8	2010	0	1	0	750.5	1	0	0	1	1	85000.0	1.0	3461.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Security Services	Business Services	$100 to $500 million 
3	3	3.8	1965	1	1	0	3000.5	1	0	0	0	0	76500.0	1.0	3883.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Government	Energy	Oil, Gas, Energy & Utilities	$500 million to $1 billion 
4	4	2.9	1998	1	1	0	125.5	1	0	0	1	1	114500.0	1.0	2728.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Advertising & Marketing	Business Services	Unknown / Non-Appli
5	5	3.4	2000	1	1	0	350.5	1	0	1	1	1	95000.0	1.0	3747.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Real Estate	Real Estate	$1 to $2 billion 
6	6	4.1	2008	0	1	0	750.5	0	0	0	1	0	73500.0	1.0	1786.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Banks & Credit Unions	Finance	Unknown / Non-Appli
7	7	3.8	2005	0	1	0	350.5	1	0	1	1	1	114000.0	0.0	3804.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$25 to $50 million 
8	8	3.3	2014	0	1	0	10000.0	0	0	0	0	0	61000.0	1.0	1538.0	0	0	0	0	0	0	0	1	1	0	0	1	0	Hospital	Health Care Services & Hospitals	Health Care	$500 million to $1 billion 
9	9	4.6	2009	1	1	0	125.5	1	0	0	0	0	140000.0	1.0	4574.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Internet	Information Technology	$100 to $500 million 
10	10	3.5	2011	0	1	0	750.5	1	0	0	0	0	163500.0	1.0	2757.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Other Retail Stores	Retail	$1 to $2 billion 
11	11	4.1	1968	0	1	0	7500.5	0	0	0	0	1	85000.0	1.0	3490.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Research & Development	Business Services	$1 to $2 billion 
12	12	3.2	1962	1	1	0	10000.0	0	0	0	0	1	139000.0	0.0	3934.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Department, Clothing, & Shoe Stores	Retail	$10+ billion 
13	13	4.1	2012	0	1	0	350.5	1	0	1	1	1	65500.0	1.0	4897.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Advertising & Marketing	Business Services	Unknown / Non-Appli
14	14	3.7	1781	1	1	0	10000.0	1	0	0	0	1	113500.0	0.0	3731.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10+ billion 
15	15	3.6	1995	0	1	0	3000.5	0	0	0	1	0	146000.0	1.0	1889.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Subsidiary or Business Segment	Motion Picture Production & Distribution	Media	Unknown / Non-Appli
16	16	3.9	2011	1	1	0	125.5	0	0	0	1	0	102000.0	1.0	3639.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$1 to $5 million 
17	17	4.3	2011	0	1	0	350.5	1	0	1	1	0	153500.0	1.0	4163.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
18	18	4.2	2010	0	1	0	125.5	0	0	0	0	1	142500.0	1.0	3512.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
19	19	4.0	1915	0	1	0	750.5	1	0	0	1	1	87500.0	1.0	4397.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Nonprofit Organization	Insurance Carriers	Insurance	$500 million to $1 billion 
20	20	3.2	2012	1	1	0	350.5	1	0	0	0	1	105500.0	1.0	2918.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Internet	Information Technology	Unknown / Non-Appli
21	21	3.9	2013	0	1	0	350.5	0	0	0	1	0	96000.0	0.0	6909.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Private	Insurance Agencies & Brokerages	Insurance	Unknown / Non-Appli
22	22	3.8	1995	0	1	0	750.5	1	0	1	1	1	112500.0	0.0	6408.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Logistics & Supply Chain	Transportation & Logistics	Unknown / Non-Appli
23	23	4.3	1935	0	1	0	125.5	1	0	0	1	1	84000.0	0.0	2907.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Nonprofit Organization	Logistics & Supply Chain	Transportation & Logistics	$10 to $25 million 
24	25	4.0	2012	1	1	0	750.5	1	0	1	0	0	143000.0	1.0	3760.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	$100 to $500 million 
25	26	4.0	1849	0	1	0	10000.0	1	0	1	1	0	86500.0	0.0	3698.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10+ billion 
26	27	3.5	1952	0	1	0	3000.5	1	0	1	1	1	99500.0	0.0	4420.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Banks & Credit Unions	Finance	$100 to $500 million 
27	28	3.7	1852	0	1	0	7500.5	0	0	0	1	0	47500.0	1.0	4900.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Public	Insurance Carriers	Insurance	$5 to $10 billion 
28	29	4.0	1849	0	1	0	10000.0	0	0	1	1	0	84000.0	0.0	5015.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10+ billion 
29	30	4.8	2010	0	1	0	750.5	1	0	0	1	1	85000.0	1.0	3461.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Security Services	Business Services	$100 to $500 million 
30	31	3.8	1965	1	1	0	3000.5	1	0	0	0	0	76500.0	1.0	3883.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Government	Energy	Oil, Gas, Energy & Utilities	$500 million to $1 billion 
31	32	3.6	1997	0	1	0	3000.5	1	0	0	0	1	96000.0	1.0	3342.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Real Estate	Real Estate	$500 million to $1 billion 
32	33	3.8	1996	0	1	0	10000.0	1	0	0	0	0	114500.0	0.0	5045.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10+ billion 
33	34	3.8	1996	0	1	0	7500.5	1	0	0	1	1	121000.0	1.0	2327.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Telecommunications Services	Telecommunications	$2 to $5 billion 
34	35	4.7	1974	1	1	0	350.5	1	0	0	1	0	112500.0	1.0	2161.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	Unknown / Non-Appli
35	36	4.2	2008	0	1	0	350.5	1	0	0	1	1	106000.0	0.0	1739.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	Unknown / Non-Appli
36	37	3.5	1969	1	1	0	3000.5	1	0	1	0	0	107000.0	1.0	5000.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Computer Hardware & Software	Information Technology	$1 to $2 billion 
